# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
578 6.140425 7.828576 8.921645 9.206864
579 6.119132 7.822597 8.905472 9.189226
580 6.133040 7.832471 8.925112 9.197418
581 6.134728 7.817880 8.908903 9.195359
582 6.131930 7.821156 8.915461 9.194851
583 6.134487 7.817807 8.910230 9.195304
584 6.130861 7.817936 8.927695 9.197145
585 6.132206 7.815159 8.912482 9.191651
586 6.135375 7.829569 8.916533 9.207127
587 6.139823 7.828044 8.925117 9.209131
588 6.133513 7.828445 8.926080 9.207173
589 6.120004 7.823388 8.926234 9.204337
590 6.119057 7.816364 8.923512 9.203586
591 6.115426 7.829423 8.924726 9.203323
592 6.125161 7.825766 8.916943 9.204855
593 6.134074 7.826924 8.917834 9.200740
594 6.133273 7.816900 8.906245 9.188016
595 6.123145 7.825520 8.911596 9.200639
596 6.120647 7.806771 8.918671 9.192575
597 6.132946 7.828043 8.913677 9.193898
598 6.129338 7.831230 8.914784 9.196131
599 6.134037 7.822875 8.923938 9.204840
600 6.132603 7.838668 8.917906 9.195882
601 6.128737 7.826360 8.923889 9.202540
602 6.114713 7.792550 8.906417 9.196896
603 6.110636 7.765521 8.908413 9.197465
604 6.090931 7.763049 8.902961 9.201547
605 6.087146 7.761250 8.910239 9.207536
606 6.086687 7.763540 8.910327 9.203803
607 6.099361 7.764115 8.902856 9.204508
608 6.088124 7.759729 8.898703 9.202230
609 6.103132 7.779392 8.900822 9.197380
610 6.088808 7.769693 8.903824 9.195999
611 6.082237 7.746849 8.900735 9.201261
612 6.082511 7.755425 8.904640 9.190224
613 6.069724 7.745473 8.889280 9.199505
614 6.070796 7.748166 8.901861 9.198555
615 6.076733 7.750411 8.897965 9.195983
616 6.074239 7.749952 8.911776 9.205513
617 6.065517 7.750803 8.896135 9.198010
618 6.077937 7.751952 8.907338 9.204709
619 6.104337 7.773228 8.900615 9.192912
620 6.101186 7.770864 8.905802 9.201524
621 6.083812 7.747964 8.901302 9.198859
622 6.079526 7.751462 8.896073 9.197301
623 6.076897 7.752950 8.890296 9.199567
624 6.068623 7.739094 8.897029 9.198252
625 6.078803 7.752553 8.904313 9.194726
626 6.095851 7.765884 8.906426 9.202393
627 6.085375 7.773059 8.917281 9.206556
628 6.083281 7.747370 8.897520 9.198859
629 6.070005 7.752255 8.901034 9.194992
