# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
481 3.987992 5.813339 7.673603 8.290042
482 3.980022 5.812441 7.665655 8.287528
483 3.980246 5.812302 7.659429 8.291547
484 3.978989 5.812088 7.653692 8.293049
485 3.976457 5.810749 7.666323 8.293800
486 3.976561 5.811501 7.666804 8.293299
487 3.977877 5.810644 7.675710 8.293550
488 3.979732 5.811388 7.669466 8.290042
489 3.978040 5.809829 7.675742 8.293550
490 3.975020 5.811031 7.653410 8.291547
491 3.974546 5.809722 7.665012 8.289288
492 3.980622 5.811734 7.671572 8.288786
493 3.980187 5.810837 7.678288 8.289037
494 3.980137 5.811282 7.669512 8.290042
495 3.978437 5.810730 7.665772 8.293299
496 3.974467 5.809379 7.649795 8.287277
497 3.984374 5.812547 7.657292 8.292549
498 3.984043 5.811390 7.665091 8.292298
499 3.990877 5.814332 7.671844 8.292549
500 3.983807 5.812351 7.665369 8.290042
501 3.987141 5.812743 7.661746 8.293299
502 3.984865 5.813945 7.670285 8.292048
503 3.977986 5.810471 7.670556 8.288032
504 3.976113 5.812270 7.667411 8.289288
505 3.975357 5.810615 7.666992 8.292799
506 3.978602 5.812600 7.666069 8.292799
507 3.978567 5.811405 7.674048 8.290293
508 3.972890 5.811276 7.665049 8.287780
509 3.984607 5.812252 7.674458 8.290794
510 3.987975 5.813263 7.680004 8.292549
511 3.986009 5.811120 7.666031 8.289288
512 3.989837 5.815267 7.672968 8.289539
513 3.981403 5.812864 7.670509 8.290794
514 3.981989 5.812568 7.665584 8.291296
515 3.975125 5.811444 7.658160 8.293800
516 3.974443 5.811005 7.667733 8.285765
517 3.977223 5.811871 7.664825 8.291547
518 3.987745 5.817036 7.675624 8.293800
519 3.969454 5.809092 7.650920 8.291547
520 3.971931 5.809627 7.652585 8.293049
521 3.980347 5.814272 7.665228 8.288534
522 3.975281 5.809797 7.661293 8.291045
523 3.975462 5.813032 7.676089 8.293550
524 3.977117 5.810444 7.667504 8.290293
525 3.966991 5.808731 7.666406 8.292048
526 3.973862 5.810188 7.662026 8.293800
527 3.980999 5.812701 7.664006 8.290544
528 3.981553 5.811469 7.671861 8.289037
529 3.976884 5.812483 7.677032 8.291547
530 3.975523 5.810920 7.669859 8.291547
531 3.967656 5.810139 7.659902 8.291045
532 3.963563 5.806341 7.661166 8.291296
533 3.969273 5.808752 7.665749 8.288786
534 3.965397 5.807442 7.664759 8.290042
535 3.968093 5.808201 7.666675 8.289288
536 3.963959 5.807792 7.671538 8.291547
537 3.964184 5.807302 7.673448 8.292799
538 3.973428 5.809921 7.681733 8.292549
539 3.972502 5.811507 7.679200 8.288283
540 3.975419 5.811022 7.689793 8.292298
541 3.971127 5.810246 7.682358 8.292298
542 3.970024 5.809340 7.680671 8.290293
543 3.967865 5.809701 7.686797 8.291296
544 3.961324 5.805912 7.692353 8.293299
545 3.965313 5.809333 7.689607 8.291797
546 3.965755 5.809656 7.687571 8.289791
547 3.963848 5.805844 7.683567 8.292048
548 3.957417 5.807396 7.689365 8.290544
549 3.956531 5.805059 7.680316 8.293550
550 3.956202 5.806372 7.680197 8.290042
551 3.953257 5.804558 7.684077 8.291797
552 3.952628 5.805660 7.679357 8.291045
553 3.957596 5.807164 7.691586 8.290293
554 3.955054 5.806558 7.694392 8.291296
555 3.954053 5.806604 7.693366 8.293550
556 3.952388 5.803720 7.691860 8.293049
557 3.952111 5.805042 7.689691 8.292298
558 3.957957 5.806552 7.697576 8.291547
559 3.956094 5.808019 7.705679 8.293800
560 3.960267 5.809880 7.700853 8.291797
561 3.954499 5.807821 7.703532 8.292298
562 3.957522 5.808472 7.707521 8.292799
563 3.954595 5.808589 7.704122 8.293049
564 3.960267 5.811345 7.712772 8.290794
565 3.958836 5.807986 7.700486 8.290794
566 3.961702 5.809292 7.698073 8.291547
567 3.956497 5.808694 7.713442 8.290794
568 3.957107 5.809130 7.712124 8.293800
569 3.953569 5.809235 7.712098 8.292298
570 3.953877 5.808928 7.707106 8.291296
571 3.952989 5.808222 7.704434 8.293550
572 3.952308 5.806641 7.708878 8.292298
573 3.957436 5.810103 7.712898 8.293049
574 3.954696 5.808262 7.709842 8.291547
575 3.957297 5.808771 7.714735 8.291547
576 3.957417 5.809091 7.709018 8.291797
577 3.952832 5.808169 7.709312 8.293550
578 3.955106 5.808189 7.711779 8.292298
579 3.955833 5.808656 7.706866 8.292799
580 3.951289 5.808568 7.716560 8.293800
581 3.950779 5.806879 7.711974 8.293299
582 3.954707 5.807561 7.710842 8.292799
583 3.947953 5.806259 7.713310 8.293550
584 3.958285 5.809682 7.713922 8.293049
585 3.957339 5.809118 7.711825 8.293049
586 3.958318 5.808539 7.706072 8.293800
587 3.955682 5.808831 7.706990 8.293049
588 3.956395 5.809543 7.716511 8.291547
589 3.953471 5.807479 7.714103 8.292799
590 3.956356 5.807790 7.710268 8.291797
591 3.955057 5.808318 7.714868 8.293800
592 3.957804 5.810237 7.714510 8.293550
593 3.955728 5.808835 7.709795 8.292048
594 3.956208 5.809347 7.719037 8.292048
595 3.954780 5.809906 7.715651 8.292298
596 3.961252 5.811723 7.717726 8.292298
597 3.951088 5.807261 7.711715 8.291547
598 3.955783 5.809516 7.707583 8.293800
599 3.957308 5.809488 7.716012 8.291797
600 3.954523 5.808887 7.715809 8.290794
601 3.959085 5.810210 7.710930 8.293049
602 3.956744 5.808994 7.717370 8.293800
603 3.954238 5.808878 7.712426 8.293550
604 3.958283 5.809920 7.706971 8.291547
605 3.953774 5.808458 7.723045 8.291797
606 3.955191 5.808542 7.710056 8.291547
607 3.954057 5.808587 7.710687 8.292799
608 3.950026 5.806487 7.711344 8.293299
609 3.956200 5.809543 7.717374 8.293800
610 3.954514 5.809479 7.710914 8.291296
611 3.961378 5.812174 7.716138 8.292549
612 3.960453 5.810593 7.717367 8.293299
613 3.956800 5.808804 7.711792 8.292799
614 3.958130 5.810470 7.707635 8.292298
615 3.956110 5.809117 7.713052 8.292048
616 3.959077 5.810128 7.715102 8.292799
617 3.955423 5.808684 7.716775 8.292549
618 3.956901 5.809371 7.714884 8.292799
619 3.953514 5.809317 7.712209 8.292048
620 3.950438 5.807135 7.707849 8.293800
621 3.949185 5.805038 7.704143 8.293550
622 3.956531 5.810077 7.714177 8.292298
623 3.955729 5.808964 7.715020 8.292298
624 3.950681 5.807048 7.706949 8.291797
625 3.957635 5.809746 7.717329 8.292799
626 3.959345 5.810001 7.715651 8.291797
627 3.954073 5.809348 7.709781 8.291045
