cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.0111789,0.0237282,0.0,0.4711229676081624,0.5288770323918376,snapshot_92.xyz,64,4000,16.796962,4000,all,92,7.622253732585082
0.0116151,0.0236157,0.0,0.4918380568858852,0.5081619431141148,snapshot_93.xyz,64,4000,16.796962,4000,all,93,7.623187207896137
0.0116268,0.0237732,0.0,0.4890717278279743,0.5109282721720256,snapshot_94.xyz,64,4000,16.796962,4000,all,94,7.6180696377466735
0.0113676,0.0236607,0.0,0.480442252342492,0.519557747657508,snapshot_95.xyz,64,4000,16.796962,4000,all,95,7.621518171815631
0.0113087,0.0236945,0.0,0.4772710966680031,0.5227289033319968,snapshot_96.xyz,64,4000,16.796962,4000,all,96,7.623651541583965
0.011403,0.0237395,0.0,0.480338676046252,0.519661323953748,snapshot_97.xyz,64,4000,16.796962,4000,all,97,7.6219616440345686
0.0111671,0.0237282,0.0,0.4706256690351564,0.5293743309648435,snapshot_98.xyz,64,4000,16.796962,4000,all,98,7.621569350312094
0.0112969,0.0235256,0.0,0.4801960417587649,0.519803958241235,snapshot_99.xyz,64,4000,16.796962,4000,all,99,7.623422715182734
0.0110372,0.0235481,0.0,0.4687087280927124,0.5312912719072875,snapshot_100.xyz,64,4000,16.796962,4000,all,100,7.619732708428629
0.0113087,0.0234918,0.0,0.4813892507172715,0.5186107492827284,snapshot_101.xyz,64,4000,16.796962,4000,all,101,7.621612784057546
0.0116975,0.0235819,0.0,0.4960372149826774,0.5039627850173226,snapshot_102.xyz,64,4000,16.796962,4000,all,102,7.618868212593483
0.0120972,0.0235931,0.0,0.5127431325260352,0.4872568674739648,snapshot_103.xyz,64,4000,16.796962,4000,all,103,7.61950814306055
0.0121794,0.0235256,0.0,0.5177083687557384,0.4822916312442615,snapshot_104.xyz,64,4000,16.796962,4000,all,104,7.620167859243534
0.0123085,0.0235931,0.0,0.521699140850503,0.478300859149497,snapshot_105.xyz,64,4000,16.796962,4000,all,105,7.620626036577713
0.012625,0.0235143,0.0,0.5369073287318781,0.4630926712681219,snapshot_106.xyz,64,4000,16.796962,4000,all,106,7.62140677943536
0.0130229,0.0236832,0.0,0.5498792392919876,0.4501207607080124,snapshot_107.xyz,64,4000,16.796962,4000,all,107,7.625128337906093
0.0126016,0.0235256,0.0,0.5356547760737239,0.4643452239262761,snapshot_108.xyz,64,4000,16.796962,4000,all,108,7.621244269565882
0.0128475,0.0236269,0.0,0.5437657923807185,0.4562342076192814,snapshot_109.xyz,64,4000,16.796962,4000,all,109,7.625448292458041
0.0128943,0.023717,0.0,0.5436733145001476,0.4563266854998524,snapshot_110.xyz,64,4000,16.796962,4000,all,110,7.6209044442663
0.0136067,0.0235594,0.0,0.5775486642274421,0.4224513357725579,snapshot_111.xyz,64,4000,16.796962,4000,all,111,7.619572087489507
0.0135717,0.0237395,0.0,0.5716927483729649,0.4283072516270351,snapshot_112.xyz,64,4000,16.796962,4000,all,112,7.625676548730814
0.01335,0.0234806,0.0,0.5685544662402153,0.4314455337597846,snapshot_113.xyz,64,4000,16.796962,4000,all,113,7.621383366150647
0.0134084,0.0233904,0.0,0.5732437239209248,0.4267562760790752,snapshot_114.xyz,64,4000,16.796962,4000,all,114,7.627753474964416
0.0139678,0.0243467,0.0,0.5737040338115639,0.4262959661884361,snapshot_115.xyz,64,4000,16.796962,4000,all,115,7.619892707308836
0.0140027,0.0241219,0.0,0.5804973903382403,0.4195026096617597,snapshot_116.xyz,64,4000,16.796962,4000,all,116,7.625571205847711
0.0142703,0.0238632,0.0,0.5980044587481981,0.4019955412518019,snapshot_117.xyz,64,4000,16.796962,4000,all,117,7.626915294877226
0.0143632,0.0243691,0.0,0.5894021527261983,0.4105978472738016,snapshot_118.xyz,64,4000,16.796962,4000,all,118,7.640486955970175
0.0145607,0.023942,0.0,0.6081655667864004,0.3918344332135995,snapshot_119.xyz,64,4000,16.796962,4000,all,119,7.631933087815437
0.0143981,0.0241781,0.0,0.5955017143613435,0.4044982856386565,snapshot_120.xyz,64,4000,16.796962,4000,all,120,7.636641182130537
0.0144097,0.0237845,0.0,0.6058441421934453,0.3941558578065547,snapshot_121.xyz,64,4000,16.796962,4000,all,121,7.636812728945156
0.0145259,0.0239982,0.0,0.6052912301755965,0.3947087698244035,snapshot_122.xyz,64,4000,16.796962,4000,all,122,7.624115214110317
0.014642,0.0240207,0.0,0.6095575899120342,0.3904424100879657,snapshot_123.xyz,64,4000,16.796962,4000,all,123,7.631774736101054
0.0145955,0.0242006,0.0,0.603104881697148,0.3968951183028519,snapshot_124.xyz,64,4000,16.796962,4000,all,124,7.62694091120255
0.0150246,0.0241556,0.0,0.6219924158373215,0.3780075841626785,snapshot_125.xyz,64,4000,16.796962,4000,all,125,7.635987370840993
0.0150942,0.0240319,0.0,0.6280901634910265,0.3719098365089734,snapshot_126.xyz,64,4000,16.796962,4000,all,126,7.63060788954515
0.0151752,0.0242905,0.0,0.6247380663222247,0.3752619336777753,snapshot_127.xyz,64,4000,16.796962,4000,all,127,7.632025692642865
