snapshot,prefix_length,full_length,fraction,cid,cid_normalized,compression_gain,n_particles_total,box_length,nbins,snapshot_num
snapshot_158.xyz,32768,32768,1.0,0.0713749,0.723987633107405,0.276012366892595,4000,16.757672110741936,32,158
snapshot_159.xyz,2048,32768,0.0625,0.100493,0.8515273482184469,0.1484726517815531,4000,16.757672110741936,32,159
snapshot_159.xyz,4096,32768,0.125,0.0879189,0.7847029212520416,0.21529707874795845,4000,16.757672110741936,32,159
snapshot_159.xyz,8192,32768,0.25,0.0818482,0.7945192979731304,0.20548070202686963,4000,16.757672110741936,32,159
snapshot_159.xyz,12000,32768,0.3662109375,0.0772612,0.7543197461557237,0.24568025384427628,4000,16.757672110741936,32,159
snapshot_159.xyz,16384,32768,0.5,0.0756909,0.7541488153358707,0.24585118466412925,4000,16.757672110741936,32,159
snapshot_159.xyz,20000,32768,0.6103515625,0.0744499,0.7380777238029146,0.2619222761970854,4000,16.757672110741936,32,159
snapshot_159.xyz,24576,32768,0.75,0.0730829,0.7170966001079331,0.2829033998920669,4000,16.757672110741936,32,159
snapshot_159.xyz,28000,32768,0.8544921875,0.0723153,0.7164896462895075,0.2835103537104925,4000,16.757672110741936,32,159
snapshot_159.xyz,32768,32768,1.0,0.0707327,0.7060490512172966,0.29395094878270345,4000,16.757672110741936,32,159
snapshot_160.xyz,2048,32768,0.0625,0.0996498,0.8687712507192551,0.1312287492807449,4000,16.757672110741936,32,160
snapshot_160.xyz,4096,32768,0.125,0.091601,0.8343215746281571,0.16567842537184285,4000,16.757672110741936,32,160
snapshot_160.xyz,8192,32768,0.25,0.0830923,0.8085110730549177,0.19148892694508235,4000,16.757672110741936,32,160
snapshot_160.xyz,12000,32768,0.3662109375,0.0786773,0.778651663153311,0.22134833684668898,4000,16.757672110741936,32,160
snapshot_160.xyz,16384,32768,0.5,0.0755572,0.7567525339529667,0.2432474660470333,4000,16.757672110741936,32,160
snapshot_160.xyz,20000,32768,0.6103515625,0.0742266,0.7382499204328454,0.26175007956715457,4000,16.757672110741936,32,160
snapshot_160.xyz,24576,32768,0.75,0.0733608,0.7321144864476469,0.2678855135523531,4000,16.757672110741936,32,160
snapshot_160.xyz,28000,32768,0.8544921875,0.0725622,0.7258397519255776,0.2741602480744224,4000,16.757672110741936,32,160
snapshot_160.xyz,32768,32768,1.0,0.0712322,0.718997169723715,0.28100283027628503,4000,16.757672110741936,32,160
snapshot_161.xyz,2048,32768,0.0625,0.0945752,0.8686425966916795,0.13135740330832046,4000,16.757672110741936,32,161
snapshot_161.xyz,4096,32768,0.125,0.0879189,0.8210274177281386,0.1789725822718614,4000,16.757672110741936,32,161
snapshot_161.xyz,8192,32768,0.25,0.0818482,0.788928729782353,0.21107127021764704,4000,16.757672110741936,32,161
snapshot_161.xyz,12000,32768,0.3662109375,0.0785005,0.7769019130469207,0.2230980869530793,4000,16.757672110741936,32,161
snapshot_161.xyz,16384,32768,0.5,0.0752897,0.7462775184116883,0.2537224815883117,4000,16.757672110741936,32,161
snapshot_161.xyz,20000,32768,0.6103515625,0.0742266,0.7487796340364834,0.2512203659635166,4000,16.757672110741936,32,161
snapshot_161.xyz,24576,32768,0.75,0.0727123,0.7309047009225733,0.2690952990774267,4000,16.757672110741936,32,161
snapshot_161.xyz,28000,32768,0.8544921875,0.0716567,0.7167820346103831,0.28321796538961685,4000,16.757672110741936,32,161
snapshot_161.xyz,32768,32768,1.0,0.0709468,0.720152177708483,0.27984782229151695,4000,16.757672110741936,32,161
snapshot_162.xyz,2048,32768,0.0625,0.100493,0.8456088387004485,0.15439116129955155,4000,16.757672110741936,32,162
snapshot_162.xyz,4096,32768,0.125,0.0893016,0.8133781457496516,0.18662185425034838,4000,16.757672110741936,32,162
snapshot_162.xyz,8192,32768,0.25,0.0840863,0.7919520418927064,0.2080479581072936,4000,16.757672110741936,32,162
snapshot_162.xyz,12000,32768,0.3662109375,0.0807972,0.7694238643938672,0.23057613560613277,4000,16.757672110741936,32,162
snapshot_162.xyz,16384,32768,0.5,0.0780945,0.7546091409798048,0.2453908590201952,4000,16.757672110741936,32,162
snapshot_162.xyz,20000,32768,0.6103515625,0.0763458,0.7488039075296449,0.2511960924703551,4000,16.757672110741936,32,162
snapshot_162.xyz,24576,32768,0.75,0.0741013,0.7375171686207377,0.2624828313792623,4000,16.757672110741936,32,162
snapshot_162.xyz,28000,32768,0.8544921875,0.07322,0.7277606599741575,0.2722393400258425,4000,16.757672110741936,32,162
snapshot_162.xyz,32768,32768,1.0,0.0723016,0.7272456607629975,0.27275433923700254,4000,16.757672110741936,32,162
snapshot_163.xyz,2048,32768,0.0625,0.101335,0.8586620344871414,0.1413379655128586,4000,16.757672110741936,32,163
snapshot_163.xyz,4096,32768,0.125,0.0920601,0.8385031559963932,0.16149684400360675,4000,16.757672110741936,32,163
snapshot_163.xyz,8192,32768,0.25,0.0838379,0.7896125301386377,0.21038746986136225,4000,16.757672110741936,32,163
snapshot_163.xyz,12000,32768,0.3662109375,0.0799145,0.7789165375205903,0.2210834624794097,4000,16.757672110741936,32,163
snapshot_163.xyz,16384,32768,0.5,0.0774275,0.7576891837673331,0.24231081623266693,4000,16.757672110741936,32,163
