snapshot,snapshot_num,nbins_sub,n_tiles,cid_mean,cid_std,cid_min,cid_max,sequence_length
snapshot_292.xyz,292,16,8,0.8724926494155432,0.01558207756982319,0.8449015267309686,0.9009782222586551,4096
snapshot_292.xyz,292,32,1,0.822344648708582,0.0,0.822344648708582,0.822344648708582,32768
snapshot_293.xyz,293,8,64,0.9201226701889668,0.03790598147182187,0.8246024722372892,1.0,512
snapshot_293.xyz,293,16,8,0.8840878312725913,0.007128005548978991,0.872948400358404,0.8945981790809377,4096
snapshot_293.xyz,293,32,1,0.8237796276796535,0.0,0.8237796276796535,0.8237796276796535,32768
snapshot_294.xyz,294,8,64,0.9151970835548279,0.04135007721387013,0.8119999999999999,1.0205530303030304,512
snapshot_294.xyz,294,16,8,0.881310171325725,0.013149654348847881,0.8621545300039221,0.9042483239966939,4096
snapshot_294.xyz,294,32,1,0.8240066830777747,0.0,0.8240066830777747,0.8240066830777747,32768
snapshot_295.xyz,295,8,64,0.9191313612658095,0.044465697912795775,0.8370684343753015,1.0200871482336524,512
snapshot_295.xyz,295,16,8,0.8824299371543161,0.024411297116128505,0.8385447360801213,0.9072482394837604,4096
snapshot_295.xyz,295,32,1,0.8266208133971291,0.0,0.8266208133971291,0.8266208133971291,32768
snapshot_296.xyz,296,8,64,0.9270511624669993,0.04312290521489132,0.8370684343753015,1.0410530303030303,512
snapshot_296.xyz,296,16,8,0.8880117488592398,0.018287911752712147,0.8578105957416302,0.9202383598177575,4096
snapshot_296.xyz,296,32,1,0.8357021097274481,0.0,0.8357021097274481,0.8357021097274481,32768
snapshot_297.xyz,297,8,64,0.9197815491698655,0.042966026881837836,0.8047903165948215,1.0614848484848483,512
snapshot_297.xyz,297,16,8,0.883082891229485,0.019363765124266016,0.8475721622100231,0.9134173110728566,4096
snapshot_297.xyz,297,32,1,0.8224072966507177,0.0,0.8224072966507177,0.8224072966507177,32768
snapshot_298.xyz,298,8,64,0.9306893679943138,0.03774698713797754,0.840786208602886,1.0,512
snapshot_298.xyz,298,16,8,0.8717146144137852,0.012471159549593236,0.8603268394641456,0.894415823538164,4096
snapshot_298.xyz,298,32,1,0.8391698529144579,0.0,0.8391698529144579,0.8391698529144579,32768
snapshot_299.xyz,299,8,64,0.9110724315344058,0.04338263393068862,0.8026280895300733,1.0221227859040942,512
snapshot_299.xyz,299,16,8,0.8781578077544991,0.025846557783822447,0.8283106296449587,0.910898630726217,4096
snapshot_299.xyz,299,32,1,0.8241757043440331,0.0,0.8241757043440331,0.8241757043440331,32768
snapshot_300.xyz,300,8,64,0.9158585962324364,0.04114533265982638,0.8090696469336023,1.0,512
snapshot_300.xyz,300,16,8,0.8820987744647739,0.015451905613757632,0.8612837631138544,0.9088512086042747,4096
snapshot_300.xyz,300,32,1,0.8292293746149878,0.0,0.8292293746149878,0.8292293746149878,32768
snapshot_301.xyz,301,8,64,0.9253057025280286,0.037879050887744306,0.8312656649495573,1.0205530303030304,512
snapshot_301.xyz,301,16,8,0.8767790828801922,0.012149888820884079,0.8612837631138544,0.9024569496843599,4096
snapshot_301.xyz,301,32,1,0.83295432173665,0.0,0.83295432173665,0.83295432173665,32768
snapshot_302.xyz,302,8,64,0.9248185927114665,0.04741975217850502,0.8119999999999999,1.0430824667319911,512
snapshot_302.xyz,302,16,8,0.8792443027414263,0.01874389668987961,0.8448147415018624,0.9084743670020902,4096
snapshot_302.xyz,302,32,1,0.8283930669211309,0.0,0.8283930669211309,0.8283930669211309,32768
snapshot_303.xyz,303,8,64,0.9238149594246308,0.04519595531558093,0.8279249681389972,1.022690852620971,512
snapshot_303.xyz,303,16,8,0.8869472283662254,0.013193894543151334,0.87255052108625,0.9088512086042747,4096
snapshot_303.xyz,303,32,1,0.8362830484451768,0.0,0.8362830484451768,0.8362830484451768,32768
snapshot_304.xyz,304,8,64,0.9278696516550287,0.04208825382577327,0.8443361214993291,1.0645209722792932,512
snapshot_304.xyz,304,16,8,0.8906752363151722,0.013868594109154095,0.8647851696599573,0.9100928703067972,4096
snapshot_304.xyz,304,32,1,0.842877207662194,0.0,0.842877207662194,0.842877207662194,32768
snapshot_305.xyz,305,8,64,0.9339945310485515,0.03854396851415155,0.8640126752119673,1.0,512
snapshot_305.xyz,305,16,8,0.8873348462682094,0.015111712625258511,0.8641679214818307,0.9130152458821486,4096
snapshot_305.xyz,305,32,1,0.8368639565700265,0.0,0.8368639565700265,0.8368639565700265,32768
snapshot_306.xyz,306,8,64,0.9287995277628298,0.040685591920466495,0.8284315785051048,1.0215728419255936,512
